name,birth_date,death_date
Randolph Bedford,1868-06-27,1941-07-07
Shawn Jeter,1966-06-28,None
Gene D Block,1948-08-17,None
William S. Stone,1910-01-06,1968-12-02
Tina Kotek,1966-09-30,None
Zhou Xinfang,1895-01-14,1975-03-08
Chris Cron,1964-03-31,None
Bertram Stevens,1872-10-08,1922-02-14
Jim O Brien,1947-02-07,None
Adam Kane,1968-01-23,None
Roger H Zion,1921-09-17,2019-09-24
Edoardo Ballerini,1970-03-20,None
Daniel Boone,1942-07-31,None
José Gonzalo Rodríguez Gacha,1947-05-14,1989-12-15
Johnny Jeter (baseball),1944-10-24,None
Çetin Alp,1947-06-21,2004-05-18
Sasha Lakovic,1971-09-07,2017-04-25
Ewing Young Historical Marker accessdate,1799-11-09,1841-02-09
David Stewart (American football),1982-08-28,None
Ron Marlenee,1935-08-08,None
Tarek El Telmissany,1950-04-22,None
Chase Lyman,1982-09-04,None
Tracey Wainman,1967-05-27,None
Mehmed Wehib Pasha,1877-11-09,None
Mary G. Enig,1931-07-13,2014-09-08
Richard John Garcia,1947-04-24,2018-07-11
Jun Nagao,1964-03-01,None
Robert Grossman,1940-03-01,2018-03-15
Lau Kwok Kin,1977-01-17,None
Albert Bartholomé,1848-08-04,1928-11-09
Dusty Fahrnow,1903-01-18,1981-05-25
Verne Duncan,1934-04-06,None
Yeung Chui Ling,1982-09-17,None
Au Yeung Wai sum,1984-10-16,None
Albert Sauveur,1863-06-21,None
Che Puan Sarimah Ibrahim,1978-02-19,None
Chow Tsz Ki,1972-11-12,None
Frank Illiano,1928-11-09,2014-01-06
Travis Hughes,1978-05-25,None
Tudor Mușatescu,1903-02-22,1970-11-04
James Dyer,1510-11-09,1582-03-24
Albert William Stevens,1886-03-13,1949-03-26
Chick Atkinson,1918-01-16,1962-01-04
Jack Mitchell,1923-12-03,2009-07-05
Herman Olcott,1879-01-01,1929-11-03
Carl Snavely,1894-07-30,1975-07-12
Perlla,1988-11-28,None
Frank Stephen Baldwin image,1925-04-08,1925-04-08
Daniel Bottom,1864-10-02,1937-02-16
Kerry Sanders,1960-10-19,None
John T. Adams,1862-12-22,1939-10-28
Ibrahim Kargbo,1982-04-10,None
Thomas M. Salmon,1963-07-28,None
Steve Cleveland,1952-02-04,None
Charles Evans,1866-02-19,1956-01-12
Jeannie Suk,1973-11-09,None
Joel West,1975-04-06,None
John Hall,1874-08-20,1925-11-09
Jesse Boot,1860-03-18,1940-03-01
Mark Fox,1969-01-13,None
Allahverdi Khan,1560-11-09,1613-06-03
Oliver H Shoup,1869-12-13,1940-09-30
Henry Blackwell,1876-12-16,1900-01-24
John Berwick,1867-07-30,1946-07-31
Keiko Matsuzaka,1952-07-20,None
Knoc-turn'al,1975-05-12,None
Logan Clark,1985-02-16,None
Bernie Fryer,1949-12-25,None
David Backes,1984-05-01,None
Wang Kemin,1879-05-04,1945-12-25
Marie Richardson,1959-06-06,None
Zhou Fohai,1897-05-29,1948-02-28
Chen Gongbo陳公博,1892-10-19,1946-06-03
Colleen Hartland,1959-02-01,None
Leandro Rodrigues,1982-01-31,None
Sergio Herrera,1981-03-15,None
Adriano,1987-05-29,None
Robert B Lawton Society of Jesus S J Ph D,1947-05-03,None
Vasilis Torosidis,1985-06-10,None
Tom Jones,1899-12-06,1978-02-20
Lee M. Thomas,1944-06-13,None
Hayami Kishimoto nihongo2 岸本 早未,1987-06-25,None
Carlos Fernandes,1978-05-05,None
Chris Brisson,1982-08-11,None
Luís Lourenço,1983-06-05,None
Paulo Gomes,1975-03-04,None
Nate Winkel,1978-06-30,None
Sasha Kolpakov,1943-02-15,None
John Ellison Vassar,1813-01-13,1878-12-06
John Yapp,1983-04-09,None
T Rhys Thomas,1982-04-23,None
Deiniol Jones,1977-11-18,None
Robin Sowden Taylor,1982-06-09,None
Ed Fairhurst,1979-05-07,None
Derek Fazackerley,1951-11-05,None
Veronika Žilková,1961-10-16,1976-04-17
Jeeva,1963-09-21,2007-06-26
Ali Badavi,1982-06-20,None
Cedric Henderson,1975-03-11,None
Tavorris Bell,1978-06-26,None
Gaspard Joseph Chaussegros de Léry,1721-07-20,1797-12-11
Lico,1974-01-20,None
Michael Browne (cardinal),1887-05-06,1971-03-31
Robert Dahlqvist,1976-04-16,2017-02-01
Riko Narumi,1992-08-18,None
Eduard Albert,1841-01-20,None
Park Kwang hyun,1969-08-21,None
John McDermott,1955-03-25,None
Detinho,1973-09-11,None
Gavin Prout,1978-03-13,None
Emilio Q. Daddario,1918-09-24,2010-07-07
Rusty York,1935-05-24,2014-01-26
Anne Isabella Thackeray Ritchie,1837-06-09,1919-02-26
Johnny Griffith,1924-05-27,2003-04-28
Edgar Lee Hewett,1865-11-23,1946-12-31
Bai He 白鶴,1983-11-19,None
Jakob Meckel,1842-03-28,1906-07-05
Kim Ha neul,1978-02-21,None
Aaron Paye,1981-01-19,None
Wu Kwok Hung,1949-05-22,2015-06-15
Martha of Denmark,1277-11-09,1341-03-02
Bob Ayrault,1966-04-27,None
Steve Broderick,1981-01-01,None
David Jewett,1772-06-17,None
Eleanor Phelps,1907-09-08,2001-09-29
William E. Birkhimer,1848-03-01,1914-06-10
Tim Blackwell,1952-08-19,None
Christina Mak,1978-03-06,None
Hannah Wilson,1989-03-10,None
Shirl Henke,1942-08-18,None
Andrew Dunn,1957-04-12,None
Alex Anmahian,1959-11-09,None
Godfrey Tenoff,1978-03-01,None
John Bird,1948-06-09,None
Tyrone Gordon,1985-04-26,None
Alexander Onassis,1948-04-30,1973-01-23
Jeff Genyk,1960-08-22,None
Tom Amstutz,1955-08-30,None
Jovan Popović (writer),1905-11-18,1952-02-13
Yaacov Bleiman,1947-09-08,2004-06-15
Tone Brulin,1926-05-11,2019-03-15
Kenny Sargent,1906-03-03,1969-12-20
Sean Michael Teague,1970-12-19,None
Panče Ќumbev,1979-12-25,None
George Wyle,1916-03-22,2003-05-02
Otto Boehler,1873-10-15,1910-10-15
Dill Jones,1923-08-19,1984-06-22
Kevin Randall,1945-08-20,2019-03-28
Christine Jeffs,1963-01-29,None
Mary Alessi,1968-02-26,None
Jojo Moyes,1969-08-04,None
Robert H. Von Schlick,1875-01-02,1941-07-01
Kelham O Hanlon,1962-05-16,None
Thomas Brereton,1782-11-09,None
Barry Lyons,1945-03-14,None
Robert Paige,1911-12-02,1987-12-21
William Kaye,1813-02-13,1890-11-19
Ricardo Patton,1958-10-23,None
Leo Gibson,1983-08-09,None
Leo Echegaray,1960-07-11,1999-02-05
George William Rud,1883-10-07,1916-08-29
Steven Howard,1971-08-03,None
Christian Leysen,1954-11-09,None
John Michael Miller,1946-07-09,None
Shastriji Maharaj,1865-01-31,1951-05-10
Kiki Lara,1981-07-24,None
John Purdy,1871-09-23,1938-05-19
Mike Busch,1968-07-07,None
Matt Schmidt,1979-06-05,None
Joe Warren,1974-10-20,None
Raj Singh Dungarpur,1935-12-19,2009-09-12
Shelley Beattie,1967-08-24,2008-02-16
Alexis Fire,1964-07-25,None
Stephanie Cayo,1988-04-08,None
Scarborough Green,1974-06-09,None
Tómas Lemarquis,1977-08-03,1977-08-03
Maicosuel,1986-06-16,None
Jason Hardtke,1971-09-15,None
Cedric Henderson,1965-10-03,None
Fyodor Bondarchuk,1967-05-09,None
Dr Robert Coltman M D,1862-08-19,1931-11-25
Leticia Cline,1978-10-01,None
John Records Landecker,1947-03-28,None
Jozef Regec,1965-03-29,None
Maulana Hasanuddin,1478-11-09,1570-11-09
Irene Rosenfeld,1953-05-03,None
Dmitry Malikov small Дмитрий Маликов,1970-01-29,None
John R. Dellenback,1918-11-06,2002-12-07
Charlie Spencer,1899-12-04,1953-02-09
Prentice E. Sanders,1937-10-12,None
Hari Shankar Bhabhra,1928-08-06,None
Alick Maemae,1985-12-10,None
Shlomo Gronich,1949-01-20,None
Jimmy McCormick,1912-09-26,1968-01-04
Tom Lockie,1906-01-13,1977-07-27
