,_1,_2,_3
0,Randolph Bedford,1868-06-27,1941-07-07
1,Shawn Jeter,1966-06-28,None
2,Gene D Block,1948-08-17,None
3,William S. Stone,1910-01-06,1968-12-02
4,Tina Kotek,1966-09-30,None
5,Zhou Xinfang,1895-01-14,1975-03-08
6,Chris Cron,1964-03-31,None
7,Bertram Stevens,1872-10-08,1922-02-14
8,Jim O Brien,1947-02-07,None
9,Adam Kane,1968-01-23,None
10,Roger H Zion,1921-09-17,2019-09-24
11,Edoardo Ballerini,1970-03-20,None
12,Daniel Boone,1942-07-31,None
13,José Gonzalo Rodríguez Gacha,1947-05-14,1989-12-15
14,Johnny Jeter (baseball),1944-10-24,None
15,Çetin Alp,1947-06-21,2004-05-18
16,Sasha Lakovic,1971-09-07,2017-04-25
17,Ewing Young Historical Marker accessdate,1799-11-09,1841-02-09
18,David Stewart (American football),1982-08-28,None
19,Ron Marlenee,1935-08-08,None
20,Tarek El Telmissany,1950-04-22,None
21,Chase Lyman,1982-09-04,None
22,Tracey Wainman,1967-05-27,None
23,Mehmed Wehib Pasha,1877-11-09,None
24,Mary G. Enig,1931-07-13,2014-09-08
25,Richard John Garcia,1947-04-24,2018-07-11
26,Jun Nagao,1964-03-01,None
27,Robert Grossman,1940-03-01,2018-03-15
28,Lau Kwok Kin,1977-01-17,None
29,Albert Bartholomé,1848-08-04,1928-11-09
30,Dusty Fahrnow,1903-01-18,1981-05-25
31,Verne Duncan,1934-04-06,None
32,Yeung Chui Ling,1982-09-17,None
33,Au Yeung Wai sum,1984-10-16,None
34,Albert Sauveur,1863-06-21,None
35,Che Puan Sarimah Ibrahim,1978-02-19,None
36,Chow Tsz Ki,1972-11-12,None
37,Frank Illiano,1928-11-09,2014-01-06
38,Travis Hughes,1978-05-25,None
39,Tudor Mușatescu,1903-02-22,1970-11-04
40,James Dyer,1510-11-09,1582-03-24
41,Albert William Stevens,1886-03-13,1949-03-26
42,Chick Atkinson,1918-01-16,1962-01-04
